iter	Passed	Remaining
0	155	155286
1	174	87057
2	194	64674
3	214	53378
4	234	46687
5	254	42138
6	273	38867
7	294	36564
8	314	34611
9	334	33098
10	354	31845
11	374	30807
12	395	30014
13	414	29199
14	434	28509
15	454	27931
16	472	27344
17	492	26894
18	511	26435
19	531	26049
20	551	25710
21	571	25405
22	591	25120
23	611	24861
24	630	24604
25	649	24344
26	668	24102
27	688	23890
28	710	23774
29	730	23608
30	749	23437
31	769	23277
32	789	23137
33	810	23024
34	830	22910
35	850	22773
36	869	22642
37	890	22542
38	910	22425
39	929	22308
40	949	22213
41	970	22126
42	991	22064
43	1011	21983
44	1031	21887
45	1056	21902
46	1076	21818
47	1095	21726
48	1115	21640
49	1134	21551
50	1154	21476
51	1173	21398
52	1194	21342
53	1213	21261
54	1233	21193
55	1253	21136
56	1273	21067
57	1293	21007
58	1313	20951
59	1333	20892
60	1353	20841
61	1374	20790
62	1395	20761
63	1416	20723
64	1439	20706
65	1460	20664
66	1480	20615
67	1500	20563
68	1520	20510
69	1540	20470
70	1560	20423
71	1582	20396
72	1599	20315
73	1626	20354
74	1652	20385
75	1679	20417
76	1705	20444
77	1729	20444
78	1754	20450
79	1775	20421
80	1797	20388
81	1819	20370
82	1840	20332
83	1860	20290
84	1880	20246
85	1900	20203
86	1920	20151
87	1939	20103
88	1959	20053
89	1979	20013
90	2001	19997
91	2023	19966
92	2043	19928
93	2064	19893
94	2084	19856
95	2104	19815
96	2123	19767
97	2143	19728
98	2164	19695
99	2183	19651
100	2203	19615
101	2222	19569
102	2242	19528
103	2263	19497
104	2283	19467
105	2304	19435
106	2324	19401
107	2345	19371
108	2367	19353
109	2388	19321
110	2408	19292
111	2430	19274
112	2455	19274
113	2479	19266
114	2501	19250
115	2523	19233
116	2548	19231
117	2571	19220
118	2595	19212
119	2623	19236
120	2647	19232
121	2670	19216
122	2692	19197
123	2714	19178
124	2737	19159
125	2760	19147
126	2782	19128
127	2805	19113
128	2830	19109
129	2853	19098
130	2882	19121
131	2906	19115
132	2932	19117
133	2958	19120
134	2984	19122
135	3012	19135
136	3039	19145
137	3064	19143
138	3090	19143
139	3114	19134
140	3140	19129
141	3164	19120
142	3186	19097
143	3209	19079
144	3230	19050
145	3255	19042
146	3281	19040
147	3309	19054
148	3338	19069
149	3364	19066
150	3389	19059
151	3414	19050
152	3438	19033
153	3461	19015
154	3486	19007
155	3515	19017
156	3527	18941
157	3560	18972
158	3589	18983
159	3611	18959
160	3635	18945
161	3659	18930
162	3684	18920
163	3711	18917
164	3736	18909
165	3763	18906
166	3787	18892
167	3815	18897
168	3842	18896
169	3867	18880
170	3891	18863
171	3916	18853
172	3940	18837
173	3967	18832
174	3990	18810
175	4014	18793
176	4038	18775
177	4063	18764
178	4089	18758
179	4114	18742
180	4137	18720
181	4160	18697
182	4183	18676
183	4206	18652
184	4227	18625
185	4249	18595
186	4271	18570
187	4294	18549
188	4317	18525
189	4338	18497
190	4359	18464
191	4379	18430
192	4400	18399
193	4423	18376
194	4445	18353
195	4466	18320
196	4487	18290
197	4507	18258
198	4527	18223
199	4547	18190
200	4568	18160
201	4588	18127
202	4610	18099
203	4629	18065
204	4650	18036
205	4671	18003
206	4690	17970
207	4711	17938
208	4730	17904
209	4752	17877
210	4772	17846
211	4794	17821
212	4815	17791
213	4835	17759
214	4856	17733
215	4876	17700
216	4896	17669
217	4917	17641
218	4937	17609
219	4958	17579
220	4978	17549
221	4999	17522
222	5019	17490
223	5040	17460
224	5060	17429
225	5082	17408
226	5103	17379
227	5123	17348
228	5143	17318
229	5165	17291
230	5186	17265
231	5206	17236
232	5227	17207
